FA,CAA,CEXA,CHC,CHH,CAMG,COND,CECN,SEP,CE,T,Tipo falla
S5,S5,S5,S4,S4,S5,S5,S5,S5,S5,0.934,1
S5,S5,S5,S4,S4,S5,S5,S5,S5,S5,0.916,1
S5,S5,S5,S4,S4,S5,S5,S5,S5,S5,0.916,1
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.908,2
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.914,1
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.896,4
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.896,5
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.896,6
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.896,7
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.926,1
S5,S5,S5,S4,S4,S5,S5,S5,S5,S5,0.934,0
S5,S5,S5,S4,S4,S5,S5,S5,S5,S5,0.916,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.914,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.908,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.954,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.896,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.908,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.954,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.924,0
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,0.944,0
